,model,version,equipments,mileage,mmyy,power,use_type,n_owners,gear,fuel_type,seller_company_name,seller_CAP,seller_city,price
73,BMW i3,"94 Ah, FARI LED, KAMERA POSTERIORE",,39500,01/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica,AZ Car 2018,00173,Roma,22100
74,BMW i3,94 Ah,,42463,07/2017,125 kW (170 CV),Usato,1,Automatico,Elettrica,BMW MILANO SRL,20142,Milano - Mi,22500
75,BMW i3,94 Ah,,42463,07/2017,125 kW (170 CV),Usato,1,Automatico,Elettrica,BMW MILANO SRL,20097,San Donato Milanese - Milano - Mi,22500
76,BMW i3,ADVANCED 94 Ah 170 CV FULL OPTIONAL Garanzia,,24000,01/2017,125 kW (170 CV),Usato,1,Automatico,Elettrica,Just Limousine Srl,09122,Cagliari - Ca,22890
77,BMW i3,94 Ah,,36000,06/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica,AUTO IKARO - ACTIVA SPA,39100,Bolzano - Bz,22900
78,BMW i3,94 Ah (Range Extender),,37000,01/2017,75 kW (102 CV),Usato,,Automatico,Elettrica,Sarma Service srl,21047,Mariano Comense - Como - CO,22900
79,BMW i3,94 Ah RANG EXTENDER,,38000,04/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,Fourwheels,20831,Seregno - Monza Brianza - Mb,23000
80,BMW i3,94 Ah|LIST.NUOVA46K|SERVICE BMW|MY2018|E6C|,,23000,12/2017,75 kW (102 CV),Usato,1,Automatico,Elettrica,LP Motors Srl,10090,Rosta- Torino - To,23000
81,BMW i3,"94 Ah 170CV LED , ",,22600,04/2018,125 kW (170 CV),Usato,1,Automatico,Elettrica,AZ Car 2018,00173,Roma,23100
82,BMW i3,94 Ah (Range Extender),,26547,09/2017,75 kW (102 CV),Usato,,Automatico,Elettrica/Benzina,Gruppo Brandini,50019,Sesto Fiorentino - Firenze,23400
83,BMW i3,i3 94Ah Range Extender,,37000,10/2018,75 kW (102 CV),Usato,,Automatico,Elettrica,"Privato, ",64026,Roseto degli Abruzzi,23500
